date,location,severity,country
2020-10-13,Bayelsa,High,Nigeria
2020-10-13,Lagos,Moderate,Nigeria
2020-10-29,Rivers,High,Nigeria
2020-10-29,Bayelsa,High,Nigeria
2020-10-29,Lagos,Moderate,Nigeria
2020-11-04,Lagos,Moderate,Nigeria
2020-11-11,Lagos,Moderate,Nigeria
2020-11-14,Bayelsa,Moderate,Nigeria
2020-12-21,Lagos,Moderate,Nigeria
2020-12-30,Bayelsa,Moderate,Nigeria
2021-01-02,Benue,Moderate,Nigeria
2021-01-20,Rivers,High,Nigeria
2021-02-02,Lagos,Moderate,Nigeria
2021-03-01,Rivers,Moderate,Nigeria
2021-03-01,Bayelsa,Moderate,Nigeria
2021-03-11,Rivers,Moderate,Nigeria
2021-03-21,Rivers,Moderate,Nigeria
2021-03-22,Lagos,Moderate,Nigeria
2021-04-15,Lagos,Moderate,Nigeria
2021-04-22,Lagos,Moderate,Nigeria
2021-05-05,Lagos,Moderate,Nigeria
2021-05-06,Rivers,Moderate,Nigeria
2021-05-23,Lagos,Moderate,Nigeria
2021-05-25,Rivers,Moderate,Nigeria
2021-06-04,Lagos,Moderate,Nigeria
2021-06-09,Lagos,Moderate,Nigeria
2021-06-19,Lagos,Moderate,Nigeria
2021-06-26,Lagos,Moderate,Nigeria
2021-07-08,Lagos,Moderate,Nigeria
2021-07-14,Lagos,High,Nigeria
2021-07-15,Rivers,Moderate,Nigeria
2021-08-01,Lagos,Moderate,Nigeria
2021-08-02,Rivers,Moderate,Nigeria
2021-08-06,Lagos,Moderate,Nigeria
2021-08-06,Rivers,Moderate,Nigeria
2021-08-10,Rivers,Moderate,Nigeria
2021-08-15,Lagos,Moderate,Nigeria
2021-08-16,Benue,Moderate,Nigeria
2021-09-02,Lagos,Moderate,Nigeria
2021-09-02,Rivers,Moderate,Nigeria
2021-09-10,Lagos,Moderate,Nigeria
2021-09-21,Rivers,Moderate,Nigeria
2021-09-22,Lagos,Moderate,Nigeria
2021-10-01,Lagos,Moderate,Nigeria
2021-10-05,Rivers,Moderate,Nigeria
2022-02-05,Rivers,Moderate,Nigeria
2022-03-03,Rivers,Moderate,Nigeria
2022-03-06,Lagos,Moderate,Nigeria
2022-03-16,Rivers,Moderate,Nigeria
2022-03-29,Rivers,Moderate,Nigeria
2022-04-06,Lagos,Moderate,Nigeria
2022-04-21,Lagos,Moderate,Nigeria
2022-04-27,Lagos,Moderate,Nigeria
2022-05-04,Lagos,Moderate,Nigeria
2022-05-10,Rivers,Moderate,Nigeria
2022-05-17,Lagos,Moderate,Nigeria
2022-05-21,Lagos,Moderate,Nigeria
2022-05-21,Rivers,High,Nigeria
2022-06-03,Lagos,Moderate,Nigeria
2022-06-08,Lagos,Moderate,Nigeria
2022-06-10,Rivers,Moderate,Nigeria
2022-06-13,Lagos,High,Nigeria
2022-06-24,Lagos,High,Nigeria
2022-06-28,Rivers,Moderate,Nigeria
2022-07-09,Rivers,Moderate,Nigeria
2022-07-17,Lagos,High,Nigeria
2022-07-19,Rivers,Moderate,Nigeria
2022-07-26,Rivers,Moderate,Nigeria
2022-07-26,Lagos,High,Nigeria
2022-08-10,Lagos,High,Nigeria
