date,country,location,severity,id,city,timestamp,temperature,humidity,precipitation,flood_risk
2020-05-16,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-08-08,Nigeria,Rivers,Medium,1112.0,Rivers,2016-08-08,0.1587991353615772,0.8494097835150916,0.0017522340759714723,1
2017-07-02,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-08-10,Nigeria,Rivers,Medium,1574.0,Rivers,2021-08-10,0.0839714978861208,0.8314628705097524,0.018048011368349798,1
2019-03-06,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-09-06,Nigeria,Rivers,High,1417.0,Rivers,2019-09-06,0.38840526282422605,0.8561844940924201,0.0,1
2017-11-22,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2016-04-28,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2017-05-26,Nigeria,Bayelsa,Medium,,,,0.4752616713439961,0.0,0.0,1
2021-05-05,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2019-09-28,Nigeria,Lagos,High,519.0,Lagos,2019-09-28,0.5836959118738427,0.595569585982088,0.1145084996115749,1
2018-04-17,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2015-08-21,Nigeria,Benue,Medium,1953.0,Benue,2015-08-21,0.3230240324990703,0.7181681088164265,0.02663395913067078,1
2023-01-22,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2018-05-16,Nigeria,Rivers,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-09-24,Nigeria,Rivers,High,1711.0,Rivers,2022-09-24,0.22266605269908446,0.9210414884285081,0.0018398457522097863,1
2014-08-21,Nigeria,Lagos,Medium,21.0,Lagos,2014-08-21,0.20118433173381423,0.6781652389564545,0.05598387893858386,1
2014-08-01,Nigeria,Lagos,Medium,1.0,Lagos,2014-08-01,0.44714964196379725,0.56502452918052,0.009724899369684006,1
2022-06-13,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2022-03-06,Nigeria,Lagos,Medium,,,,0.4752616713439961,0.0,0.0,1
2022-07-17,Nigeria,Lagos,High,,,,0.4752616713439961,0.0,0.0,1
2017-08-05,Nigeria,Benue,Medium,2121.0,Benue,2017-08-05,0.20030286259752916,0.7932531216495748,0.01796040005958161,1
